feature_value,0,1,feature
0.0,0.00562429696287964,0.009247027741083224,Age
0.012658227848101266,0.01124859392575928,0.009247027741083224,Age
0.025316455696202535,0.00562429696287964,0.010568031704095112,Age
0.0379746835443038,0.006749156355455568,0.010568031704095112,Age
0.04050632911392405,0.0044994375703037125,0.0066050198150594455,Age
0.05063291139240507,0.0044994375703037125,0.007926023778071334,Age
0.06329113924050633,0.0044994375703037125,0.0066050198150594455,Age
0.07215189873417721,0.0044994375703037125,0.0066050198150594455,Age
0.0759493670886076,0.006749156355455568,0.005284015852047556,Age
0.08227848101265822,0.0044994375703037125,0.007926023778071334,Age
0.08860759493670886,0.00562429696287964,0.0066050198150594455,Age
0.09240506329113923,0.0044994375703037125,0.0066050198150594455,Age
0.10126582278481013,0.007874015748031496,0.0066050198150594455,Age
0.1139240506329114,0.00562429696287964,0.005284015852047556,Age
0.12658227848101264,0.006749156355455568,0.005284015852047556,Age
0.13924050632911392,0.0044994375703037125,0.0066050198150594455,Age
0.15189873417721517,0.0044994375703037125,0.0066050198150594455,Age
0.16455696202531644,0.007874015748031496,0.007926023778071334,Age
0.17088607594936708,0.00562429696287964,0.005284015852047556,Age
0.1772151898734177,0.0044994375703037125,0.009247027741083224,Age
0.18987341772151897,0.01124859392575928,0.009247027741083224,Age
0.20253164556962025,0.006749156355455568,0.010568031704095112,Age
0.2151898734177215,0.019122609673790775,0.010568031704095112,Age
0.22278481012658227,0.00562429696287964,0.005284015852047556,Age
0.22784810126582278,0.01687289088863892,0.011889035667107,Age
0.23037974683544302,0.00562429696287964,0.005284015852047556,Age
0.23291139240506326,0.006749156355455568,0.005284015852047556,Age
0.2379746835443038,0.00562429696287964,0.005284015852047556,Age
0.23924050632911387,0.00562429696287964,0.005284015852047556,Age
0.24050632911392406,0.01124859392575928,0.0066050198150594455,Age
0.24303797468354427,0.00562429696287964,0.005284015852047556,Age
0.2481012658227848,0.00562429696287964,0.005284015852047556,Age
0.25063291139240507,0.00562429696287964,0.005284015852047556,Age
0.2531645569620253,0.01687289088863892,0.009247027741083224,Age
0.2582278481012658,0.0044994375703037125,0.0066050198150594455,Age
0.2607594936708861,0.006749156355455568,0.005284015852047556,Age
0.26329113924050634,0.00562429696287964,0.005284015852047556,Age
0.26582278481012656,0.015748031496062992,0.01453104359313078,Age
0.27848101265822783,0.008998875140607425,0.011889035667107,Age
0.28227848101265823,0.0044994375703037125,0.0066050198150594455,Age
0.2835443037974683,0.0044994375703037125,0.0066050198150594455,Age
0.28607594936708863,0.00562429696287964,0.005284015852047556,Age
0.28860759493670884,0.00562429696287964,0.0066050198150594455,Age
0.2911392405063291,0.012373453318335208,0.021136063408190225,Age
0.29240506329113924,0.00562429696287964,0.005284015852047556,Age
0.2936708860759493,0.00562429696287964,0.005284015852047556,Age
0.2974683544303797,0.00562429696287964,0.005284015852047556,Age
0.29873417721518986,0.00562429696287964,0.005284015852047556,Age
0.3012658227848101,0.0044994375703037125,0.0066050198150594455,Age
0.3037974683544304,0.019122609673790775,0.009247027741083224,Age
0.31139240506329113,0.00562429696287964,0.0066050198150594455,Age
0.3139240506329114,0.00562429696287964,0.0066050198150594455,Age
0.3164556962025316,0.013498312710911136,0.009247027741083224,Age
0.3177215189873418,0.00562429696287964,0.005284015852047556,Age
0.3189873417721519,0.00562429696287964,0.0066050198150594455,Age
0.3240506329113924,0.00562429696287964,0.005284015852047556,Age
0.3265822784810126,0.006749156355455568,0.005284015852047556,Age
0.3291139240506329,0.006749156355455568,0.017173051519154558,Age
0.330379746835443,0.0044994375703037125,0.0066050198150594455,Age
0.33164556962025316,0.00562429696287964,0.005284015852047556,Age
0.3367088607594937,0.0044994375703037125,0.0066050198150594455,Age
0.34177215189873417,0.020247469066366704,0.010568031704095112,Age
0.3443037974683544,0.007874015748031496,0.005284015852047556,Age
0.34683544303797464,0.006749156355455568,0.005284015852047556,Age
0.3481012658227848,0.006749156355455568,0.005284015852047556,Age
0.35443037974683544,0.01124859392575928,0.011889035667107,Age
0.35696202531645566,0.006749156355455568,0.007926023778071334,Age
0.36708860759493667,0.019122609673790775,0.013210039630118891,Age
0.36835443037974686,0.0044994375703037125,0.0066050198150594455,Age
0.37721518987341773,0.00562429696287964,0.0066050198150594455,Age
0.37974683544303794,0.01124859392575928,0.010568031704095112,Age
0.3822784810126582,0.00562429696287964,0.0066050198150594455,Age
0.3848101265822784,0.00562429696287964,0.0066050198150594455,Age
0.38734177215189874,0.006749156355455568,0.0066050198150594455,Age
0.38987341772151896,0.00562429696287964,0.007926023778071334,Age
0.3924050632911392,0.013498312710911136,0.01453104359313078,Age
0.3949367088607595,0.006749156355455568,0.005284015852047556,Age
0.3974683544303797,0.006749156355455568,0.005284015852047556,Age
0.39873417721518983,0.00562429696287964,0.0066050198150594455,Age
0.4,0.0044994375703037125,0.0066050198150594455,Age
0.4050632911392405,0.012373453318335208,0.011889035667107,Age
0.40759493670886077,0.00562429696287964,0.005284015852047556,Age
0.41518987341772146,0.006749156355455568,0.005284015852047556,Age
0.4177215189873418,0.012373453318335208,0.010568031704095112,Age
0.42025316455696204,0.00562429696287964,0.005284015852047556,Age
0.42658227848101266,0.006749156355455568,0.005284015852047556,Age
0.42784810126582273,0.00562429696287964,0.005284015852047556,Age
0.430379746835443,0.010123734533183352,0.015852047556142668,Age
0.4329113924050633,0.00562429696287964,0.0066050198150594455,Age
0.4379746835443038,0.00562429696287964,0.005284015852047556,Age
0.440506329113924,0.0044994375703037125,0.0066050198150594455,Age
0.4430379746835443,0.01124859392575928,0.013210039630118891,Age
0.4455696202531646,0.006749156355455568,0.005284015852047556,Age
0.44810126582278476,0.00562429696287964,0.005284015852047556,Age
0.4506329113924051,0.00562429696287964,0.005284015852047556,Age
0.4518987341772152,0.00562429696287964,0.005284015852047556,Age
0.45569620253164556,0.007874015748031496,0.005284015852047556,Age
0.46075949367088603,0.00562429696287964,0.005284015852047556,Age
0.4632911392405063,0.0044994375703037125,0.0066050198150594455,Age
0.46835443037974683,0.00562429696287964,0.007926023778071334,Age
0.4759493670886076,0.00562429696287964,0.005284015852047556,Age
0.4784810126582278,0.00562429696287964,0.005284015852047556,Age
0.48101265822784806,0.01124859392575928,0.009247027741083224,Age
0.4860759493670886,0.00562429696287964,0.005284015852047556,Age
0.491139240506329,0.007874015748031496,0.005284015852047556,Age
0.4936708860759494,0.010123734533183352,0.007926023778071334,Age
0.49999999999999994,0.00562429696287964,0.005284015852047556,Age
0.5063291139240507,0.010123734533183352,0.0066050198150594455,Age
